word,onsets,offsets
“,0.0153,0.1303
good,0.0153,0.1303
morning,0.1303,0.5752
",",0.1303,0.5752
”,0.9144,1.0894
said,0.9144,1.0894
the,1.0894,1.1694
little,1.1694,1.4194
prince,1.4194,1.8741
.,1.4194,1.8741
“,2.5924,2.7574
good,2.5924,2.7574
morning,2.7574,3.2023
",",2.7574,3.2023
”,3.4168,3.6018
said,3.4168,3.6018
the,3.6018,3.7118
merchant,3.7118,4.2115
.,3.7118,4.2115
this,4.9547,5.2197
was,5.2197,5.3797
a,5.3797,5.4297
merchant,5.4297,5.9397
who,5.9397,6.0397
sold,6.0397,6.4797
pills,6.4797,6.9597
that,6.9597,7.0897
had,7.0897,7.2197
been,7.2197,7.3697
created,7.3697,7.9797
to,7.9797,8.1197
quench,8.1197,8.6097
thirst,8.6097,9.1583
.,8.6097,9.1583
you,9.5623,9.6673
could,9.6673,9.8273
take,9.8273,10.1673
one,10.1673,10.4173
pill,10.4173,10.6573
a,10.6573,10.7273
week,10.7273,11.5073
",",10.7273,11.5073
and,11.5073,11.5973
you,11.5973,11.7173
no,11.7173,11.8673
longer,11.8673,12.2073
felt,12.2073,12.5073
the,12.5073,12.5773
need,12.5773,12.8873
to,12.8873,12.9773
drink,12.9773,13.2573
anything,13.2573,13.7006
.,13.2573,13.7006
“,14.5536,14.7086
why,14.5536,14.7086
are,14.7086,14.7486
you,14.7486,15.0086
selling,15.0086,15.3886
those,15.3886,15.9286
?,15.3886,15.9286
”,16.2527,16.5377
asked,16.2527,16.5377
the,16.5377,16.6377
little,16.6377,16.8477
prince,16.8477,17.3226
.,16.8477,17.3226
“,17.8264,17.9914
it,17.8264,17.9914
’,17.8264,17.9914
s,17.9914,18.0314
a,18.0314,18.0914
big,18.0914,18.2814
time,18.2814,18.5814
saver,18.5814,18.9812
",",18.5814,18.9812
”,19.2555,19.4505
said,19.2555,19.4505
the,19.4505,19.5405
merchant,19.5405,20.3905
.,19.5405,20.3905
“,20.3905,20.9505
experts,20.3905,20.9505
have,20.9505,21.0605
done,21.0605,21.3005
calculations,21.3005,22.2388
.,21.3005,22.2388
you,22.563,22.718000000000004
save,22.718000000000004,23.028
fifty,23.028,23.41800000000001
-,23.028,23.41800000000001
three,23.41800000000001,23.638
minutes,23.638,24.058000000000003
per,24.058000000000003,24.218000000000004
week,24.218000000000004,24.5421
.,24.218000000000004,24.5421
”,24.86645,25.126
“,25.5149,25.7099
and,25.5149,25.7099
what,25.7099,25.8999
do,25.8999,25.9899
i,25.9899,26.1599
do,26.1599,26.3599
with,26.3599,26.5699
the,26.5699,26.6599
fifty,26.6599,26.9999
-,26.6599,26.9999
three,26.9999,27.2599
minutes,27.2599,27.7439
?,27.2599,27.7439
”,27.83115,28.14065
“,28.4024,28.5374
you,28.4024,28.5374
can,28.5374,28.6674
do,28.6674,28.7874
anything,28.7874,29.1274
you,29.1274,29.2174
like,29.2174,29.4774
with,29.4774,29.5974
them,29.5974,29.7619
...,29.5974,29.7619
”,30.25085,30.72555
“,30.9043,31.6892
myself,30.9043,31.6892
",",30.9043,31.6892
”,31.9286,32.0036
the,31.9286,32.0036
little,32.0036,32.2336
prince,32.2336,32.5736
said,32.5736,32.7836
to,32.7836,32.8936
himself,32.8936,33.4181
",",32.8936,33.4181
“,33.9169,34.0719
if,33.9169,34.0719
i,34.0719,34.2819
had,34.2819,34.5319
fifty,34.5319,34.9119
-,34.5319,34.9119
three,34.9119,35.1619
minutes,35.1619,35.5619
to,35.5619,35.6419
spend,35.6419,35.9919
as,35.9919,36.1119
i,36.1119,36.2819
liked,36.2819,36.6913
",",36.2819,36.6913
i,37.2201,37.3951
’,37.2201,37.3951
d,37.3951,37.4651
walk,37.4651,37.7851
very,37.7851,38.1351
slowly,38.1351,38.6651
toward,38.6651,38.9251
a,38.9251,38.9551
spring,38.9551,39.3051
of,39.3051,39.4351
fresh,39.4351,39.8051
water,39.8051,40.2394
.,39.8051,40.2394
”,41.3944,41.5494
we,41.3944,41.5494
were,41.5494,41.7294
at,41.7294,41.9594
the,41.9594,42.1194
eighth,42.1194,42.5094
day,42.5094,42.7694
since,42.7694,43.0994
my,43.0994,43.2394
accident,43.2394,43.8394
in,43.8394,43.9194
the,43.9194,44.0194
desert,44.0194,44.5582
",",44.0194,44.5582
and,44.8176,44.9926
i,44.9926,45.1026
’,44.9926,45.1026
d,45.1026,45.1926
listened,45.1926,45.6026
to,45.6026,45.7126
the,45.7126,45.7726
story,45.7726,46.2326
of,46.2326,46.3426
the,46.3426,46.4126
merchant,46.4126,47.0526
as,47.0526,47.1826
i,47.1826,47.2826
drank,47.2826,47.6726
the,47.6726,47.7826
last,47.7826,48.1626
drop,48.1626,48.3726
of,48.3726,48.4826
my,48.4826,48.6326
water,48.6326,48.9326
supply,48.9326,49.4111
.,48.9326,49.4111
“,50.7583,51.4133
ah,50.7583,51.4133
",",50.7583,51.4133
”,51.4133,51.5733
i,51.4133,51.5733
said,51.5733,51.8233
to,51.8233,51.9433
the,51.9433,52.0433
little,52.0433,52.2833
prince,52.2833,52.7679
",",52.2833,52.7679
“,53.4413,53.6263
these,53.4413,53.6263
memories,53.6263,54.0863
of,54.0863,54.1663
yours,54.1663,54.5163
are,54.5163,54.5463
very,54.5463,54.8663
charming,54.8663,55.3911
;,54.8663,55.3911
but,55.7951,55.9201
i,55.9201,56.0601
haven,56.0601,56.3501
’,56.0601,56.3501
t,56.3501,56.3801
managed,56.3801,56.7801
to,56.7801,56.8801
repair,56.8801,57.2001
my,57.2001,57.3801
plane,57.3801,57.7301
yet,57.7301,58.0296
",",57.7301,58.0296
i,58.5234,58.5784
have,58.5784,58.7384
nothing,58.7384,59.0684
left,59.0684,59.3384
to,59.3384,59.4284
drink,59.4284,59.8281
",",59.4284,59.8281
and,60.3718,60.5568
i,60.5568,60.7468
",",60.5568,60.7468
too,60.7468,61.0568
",",60.7468,61.0568
would,61.0568,61.2668
be,61.2668,61.4368
happy,61.4368,61.8568
if,61.8568,62.0268
i,62.0268,62.1668
could,62.1668,62.3968
walk,62.3968,62.6968
slowly,62.6968,63.2968
towards,63.2968,63.6768
a,63.6768,63.7268
spring,63.7268,64.0868
of,64.0868,64.2068
fresh,64.2068,64.5568
water,64.5568,64.9902
!,64.5568,64.9902
