word,onsets,offsets
i,0.3756,0.5506
thus,0.5506,0.9806
learned,0.9806,1.4006
a,1.4006,1.4406
second,1.4406,2.1006
very,2.1006,2.4906
important,2.4906,2.9806
thing,2.9806,3.275
that,3.8187,4.0237
his,4.0237,4.3237
home,4.3237,4.5637
planet,4.5637,5.1637
was,5.1637,5.3737
barely,5.3737,5.8737
bigger,5.8737,6.2637
than,6.2637,6.3937
a,6.3937,6.4437
house,6.4437,6.9728
it,7.6711,7.9961
didn,7.9961,8.2261
t,8.2261,8.2961
surprise,8.2961,8.7561
me,8.7561,8.8761
much,8.8761,9.3003
i,9.6145,9.7495
knew,9.7495,9.9995
that,9.9995,10.2995
apart,10.2995,10.7095
from,10.7095,10.8795
the,10.8795,10.9795
large,10.9795,11.3995
planets,11.3995,11.8495
like,11.8495,12.0895
the,12.0895,12.2095
earth,12.2095,12.6795
jupiter,12.6795,13.1395
mars,13.1395,13.5895
and,13.5895,13.7695
venus,13.7695,14.4172
which,14.6416,14.8366
have,14.8366,14.9466
been,14.9466,15.1466
given,15.1466,15.4166
names,15.4166,15.9514
there,16.3953,16.6003
are,16.6003,16.7003
hundreds,16.7003,17.1603
of,17.1603,17.2803
others,17.2803,17.7503
that,17.7503,17.9003
are,17.9003,17.9403
sometimes,17.9403,18.6003
so,18.6003,18.8503
small,18.8503,19.4903
that,19.4903,19.8203
one,19.8203,20.1603
has,20.1603,20.4203
great,20.4203,20.7803
difficulty,20.7803,21.3503
in,21.3503,21.4503
spotting,21.4503,21.8903
them,21.8903,22.1003
through,22.1003,22.2503
the,22.2503,22.3303
telescope,22.3303,22.9031
when,23.8259,24.0009
an,24.0009,24.1109
astronomer,24.1109,24.6509
discovers,24.6509,25.1909
one,25.1909,25.3309
of,25.3309,25.4909
these,25.4909,25.9058
he,26.2249,26.2999
gives,26.2999,26.5899
it,26.5899,26.7199
a,26.7199,26.7499
number,26.7499,27.2099
for,27.2699,27.4699
a,27.4699,27.5399
name,27.5399,27.9196
he,28.5381,28.6531
might,28.6531,28.9031
call,28.9031,29.1031
it,29.1031,29.2731
for,29.2731,29.4131
example,29.4131,29.9928
asteroid,30.4117,31.0667
three,31.0667,31.2667
hundred,31.2667,31.4667
and,31.4667,31.4667
twenty,31.4667,31.6667
five,31.8667,32.0966
i,33.2688,33.3638
have,33.3638,33.5338
serious,33.5338,34.1238
reason,34.1238,34.4638
to,34.4638,34.5838
believe,34.5838,35.0238
that,35.0238,35.1638
the,35.1638,35.2438
planet,35.2438,35.7038
from,35.7038,35.9038
where,35.9038,36.0338
the,36.0338,36.1438
little,36.1438,36.3738
prince,36.3738,36.7738
came,36.7738,37.2322
is,37.6112,37.7462
the,37.7462,37.9262
asteroid,37.9262,38.7862
b,38.7862,39.1262
six,39.1262,39.3262
hundred,39.3262,39.6262
and,39.6262,39.6262
twelve,39.6262,40.3802
this,40.9539,41.4689
asteroid,41.4689,42.0489
has,42.0489,42.2389
only,42.2389,42.4989
been,42.4989,42.6889
seen,42.6889,42.9689
through,42.9689,43.1389
a,43.1389,43.1789
telescope,43.1789,43.8789
once,43.8789,44.3589
in,44.3589,44.5289
one,44.5289,44.72
thousand,44.72,44.92
nine,44.92,45.12
hundred,45.12,45.32
and,45.32,45.32
nine,45.32,45.6089
by,45.6089,45.8489
a,45.8489,45.8789
turkish,45.8789,46.3789
astronomer,46.3789,46.986999999999995
he,47.7802,47.8452
had,47.8452,48.0752
then,48.0752,48.4052
given,48.4052,48.7252
a,48.7252,48.8152
big,48.8152,49.1552
presentation,49.1552,49.9552
on,49.9552,50.0652
his,50.0652,50.2452
discovery,50.2452,50.9042
at,51.1936,51.3486
an,51.3486,51.4786
international,51.4786,52.1986
astronomy,52.1986,52.7186
conference,52.7186,53.3778
but,53.8616,54.1466
nobody,54.1466,54.5566
had,54.5566,54.6666
believed,54.6666,55.1466
him,55.1466,55.2566
because,55.2566,55.5466
of,55.5466,55.6366
his,55.6366,55.7666
outfit,55.7666,56.3357
grownups,56.7847,57.1897
are,57.1897,57.2397
like,57.2397,57.5697
that,57.5697,57.8992
fortunately,58.7472,59.3822
for,59.3822,59.5222
the,59.5222,59.6222
reputation,59.6222,60.3022
of,60.3022,60.4122
asteroid,60.4122,61.1122
b,61.1122,61.3722
six,61.3722,61.6
hundred,61.6,61.9
and,61.9,61.9
twelve,61.9,62.3909
a,62.7451,62.8301
turkish,62.8301,63.4101
dictator,63.4101,64.0501
imposed,64.0501,64.6001
on,64.6001,64.7101
his,64.7101,64.9101
people,64.9101,65.3201
on,65.3201,65.4701
pain,65.4701,65.7701
of,65.7701,65.8701
death,65.8701,66.5701
to,66.5701,66.7501
dress,66.7501,67.1501
themselves,67.1501,67.7001
in,67.7001,67.7901
the,67.7901,67.9101
european,67.9101,68.5101
fashion,68.5101,69.0574
the,69.9004,70.0154
astronomer,70.0154,70.5854
gave,70.5854,70.8754
his,70.8754,71.0354
presentation,71.0354,71.7254
again,71.7254,72.0254
in,72.0254,72.1454
one,72.1454,72.34
thousand,72.34,72.54
nine,72.54,72.74
hundred,72.74,72.94
and,72.94,72.94
twenty,72.94,73.1654
dressed,73.1654,73.6054
very,73.6054,73.9854
stylishly,73.9854,74.7591
and,75.188,75.35300000000002
this,75.35300000000002,75.583
time,75.583,75.9329
everybody,76.2421,76.8271
believed,76.8271,77.0671
him,77.0671,77.3069
if,78.5441,78.6591
i,78.6591,78.7491
have,78.7491,78.8791
told,78.8791,79.1391
you,79.1391,79.2191
these,79.2191,79.4391
details,79.4391,79.8991
about,79.8991,80.1791
the,80.1791,80.2891
asteroid,80.2891,80.9891
b,80.9891,81.2091
six,81.2091,81.6
hundred,81.6,82.01
and,82.01,82.01
