onsets,offsets,word
3.07,3.19,il
3.27,3.29,se
3.47,3.72,trouvait
3.78,3.87,dans
3.87,3.94,la
4.0,4.47,région
4.47,4.7,des
4.7,5.42,astéroïdes
5.42,6.59,325
6.59,6.69,","
6.69,7.89,326
7.89,8.06,","
8.06,9.09,327
9.09,9.27,","
9.27,10.48,328
10.48,10.62,","
10.62,11.71,329
11.97,12.06,et
12.06,13.1,330
13.1,13.98,.
13.98,14.17,il
14.17,14.59,commença
14.59,14.91,donc
14.91,15.08,par
15.08,15.23,les
15.23,15.84,visiter
15.84,16.1,pour
16.1,16.14,y
16.14,16.63,chercher
16.63,16.74,une
16.74,17.46,occupation
17.7,17.79,et
17.79,17.97,pour
17.97,18.07,s'
18.07,18.74,instruire
18.74,19.64,.
19.64,19.84,le
19.84,20.32,premier
20.32,20.66,était
20.66,21.06,habité
21.06,21.22,par
21.22,21.4,un
21.4,21.68,roi
21.68,22.27,.
22.27,22.48,le
22.48,22.73,roi
22.73,23.45,siégeait
23.45,23.62,","
23.62,24.08,habillé
24.08,24.25,de
24.25,24.63,pourpre
24.71,24.79,et
24.79,24.85,d'
24.85,25.4,hermine
25.4,25.64,","
25.64,25.89,sur
25.89,26.03,un
26.03,26.41,trône
26.41,26.74,très
26.74,27.33,simple
27.5,27.56,et
27.56,28.15,cependant
28.15,28.92,majestueux
28.92,30.06,.
30.06,30.06,""""
30.06,30.36,ah
30.36,30.53,!
30.53,30.74,voilà
30.84,30.86,un
30.86,31.3,sujet
31.3,31.535,!
31.535,31.77,""""
31.77,31.77,","
31.77,31.9,s'
31.9,32.27,écria
32.27,32.39,le
32.39,32.7,roi
32.7,32.96,quand
32.96,33.04,il
33.04,33.44,aperçut
33.44,33.57,le
33.57,33.85,petit
33.85,34.4,prince
34.4,35.14,.
35.14,35.2,et
35.2,35.33,le
35.33,35.59,petit
35.59,36.07,prince
36.07,36.14,se
36.14,36.6,demanda
36.6,37.23,:
37.23,37.23,""""
37.23,37.68,comment
37.68,37.82,peut
37.82,37.82,-
37.82,37.96,il
37.96,38.04,me
38.04,38.68,reconnaître
38.68,38.99,puisqu'
38.99,39.08,il
39.08,39.15,ne
39.15,39.23,m'
39.23,39.27,a
39.27,39.65,encore
39.65,40.2,jamais
40.2,40.38,vu
40.38,41.44,!
41.44,41.44,""""
41.44,41.57,il
41.57,41.64,ne
41.64,42.03,savait
42.03,42.23,pas
42.23,42.55,que
42.55,42.72,","
