word,onsets,offsets
la,3.08,3.14
quatrième,3.31,3.8
planète,3.91,4.45
était,4.51,4.82
celle,4.88,5.27
du,5.27,5.44
businessman,5.44,6.44
cet,7.15,7.391941
homme,7.423483999999999,7.61
était,7.61,7.84
si,7.84,8.14
occupé,8.14,8.78
qu',8.87,8.95
il,8.95,9.04
ne,9.04,9.17
leva,9.17,9.5
même,9.5,9.89
pas,9.89,10.07
la,10.07,10.21
tête,10.21,10.59
à,10.66,10.76
l',10.76,10.81
arrivée,10.81,11.15
du,11.15,11.27
petit,11.27,11.56
prince,11.56,12.19
bonjour,12.98,13.5
lui,13.79,13.99
dit,13.99,14.16
celui,14.2,14.46
ci,14.46,14.77
votre,15.39,15.6
cigarette,15.6,16.15
est,16.15,16.27
éteinte,16.27,16.82
trois,17.99,18.16
et,18.42,18.51
deux,18.51,18.59
font,18.74,18.95
cinq,18.95,19.61
cinq,19.8,20.22
et,20.22,20.32
sept,20.32,20.7
douze,20.7,21.39
douze,21.73,22.03
et,22.03,22.15
trois,22.15,22.61
quinze,22.67,23.45
bonjour,23.88,24.68
quinze,25.15,25.51
et,25.51,25.6
sept,25.6,26.01
vingt,26.01,26.32
deux,26.32,26.68
vingt,27.12,27.4
deux,27.4,27.63
et,27.68,27.76
six,27.76,28.25
vingt,28.25,28.58
huit,28.58,28.99
pas,29.22,29.44
le,29.44,29.66
temps,29.66,29.88
de,29.88,29.99
la,29.99,30.17
rallumer,30.17,30.76
vingt,31.18,31.38
six,31.38,31.81
et,31.87,31.97
cinq,31.97,32.47
trente,32.47,32.85
et,32.85,32.98
un,32.98,33.13
ouf,33.6,33.97
ça,34.43,34.65
fait,34.65,34.82
donc,34.82,35.19
cinq,35.19,35.48
cent,35.48,35.78
un,35.78,35.94
millions,35.94,36.46
six,36.46,36.86
cent,36.86,36.98
vingt,36.98,37.31
deux,37.31,37.46
mille,37.46,37.82
sept,37.82,38.16
cent,38.16,38.4
trente,38.4,38.74
et,38.74,38.88
un,38.88,39.04
cinq,40.09,40.33
cents,40.33,40.5
millions,40.55,40.85
de,40.85,41.01
quoi,41.01,41.31
hein,42.37,42.75
tu,42.95,43.07
es,43.07,43.19
toujours,43.25,43.51
là,43.51,43.74
cinq,44.35,44.61
cent,44.61,44.84
un,44.84,44.93
millions,44.93,45.27
de,45.27,45.74
je,46.3,46.45
ne,46.45,46.53
sais,46.53,46.74
plus,46.74,47.06
j',47.41,47.52
ai,47.52,47.64
tellement,47.64,48.07
de,48.07,48.17
travail,48.17,48.81
je,49.33,49.44
suis,49.44,49.68
sérieux,49.68,50.17
moi,50.17,50.38
je,50.76,50.91
ne,50.91,51.0
m',51.0,51.06
amuse,51.06,51.42
pas,51.42,51.7
à,51.7,51.72
des,51.72,51.86
balivernes,51.86,52.6
deux,53.45,53.74
et,53.74,53.91
cinq,53.91,54.38
sept,54.38,54.97
cinq,56.2,56.5
cent,56.5,56.59
un,56.59,56.76
millions,56.76,57.15
de,57.15,57.27
quoi,57.27,57.63
répéta,58.02,58.46
le,58.46,58.58
petit,58.58,58.86
prince,58.86,59.36
qui,59.36,59.61
jamais,59.61,60.2
de,60.2,60.34
sa,60.34,60.6
vie,60.6,60.85
n',60.85,60.98
avait,60.98,61.16
renoncé,61.16,61.75
à,61.75,61.78
une,61.78,61.93
question,61.93,62.49
une,62.76,62.92
fois,62.92,63.16
qu',63.16,63.27
il,63.27,63.47
l',63.47,63.49
avait,63.49,63.71
posée,63.71,64.15
le,65.15584799999999,65.346357
businessman,65.346357,66.0
leva,66.0,66.3
la,66.3,66.43
tête,66.43,66.9
depuis,67.83,68.21
cinquante,68.3,68.66
quatre,68.66,68.94
ans,68.94,69.04
que,69.04,69.18
j',69.18,69.26
habite,69.26,69.55
cette,69.55,69.71
planète,69.76,70.1
ci,70.1,70.42
je,70.62,70.77
n',70.77,70.82
ai,70.82,71.0
été,71.0,71.14
dérangé,71.14,71.71
que,71.71,71.85
trois,71.85,72.24
fois,72.24,72.6
la,73.38,73.52
première,73.52,73.86
fois,73.86,74.09
ç',74.09,74.21
